TABLE 3.B(a) SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,,,,,,,,,,Inventory 1990
CH4 Emissions from Manure Management,,,,,,,,,,,,Submission 2023 v3
(Sheet 2 of 2),,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,
Additional information (for Tier 2) (a),,,,,,,,,,,,
Animal category,,Indicator,Climate region,Manure Management Systems (b),,,,,,,,
,,,,Anaerobic lagoon  , Liquid system,Daily spread,Solid storage and dry lot,"Pasture, range, and paddock",Composting,Digesters,Burned for fuel or as waste,Other
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Mules and Asses - Allocation (%) - Temperate,NO,NO,NO,NO,100.00,NO,NO,NO,NO
,,,Mules and Asses - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Mules and Asses - MCF (c) - Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Mules and Asses - MCF (c) - Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Mules and Asses - MCF (c) - Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Poultry - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Poultry - Allocation (%) - Temperate,NO,NO,NO,NO,0.30,NO,NO,NO,99.70
,,,Poultry - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Poultry - MCF (c) - Cool,NA,NA,NA,NA,NA,NA,NA,,NA
,,,Poultry - MCF (c) - Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Poultry - MCF (c) - Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(a) The information required in this table may not be directly applicable to country-specific methods developed for MCF calculations.  In such cases, information on MCF derivation should be described in the NIR and references to the relevant sections of the NIR should be provided in the documentation box.",,,,,,,,,,,,
,,,,,,,,,,,,
"(b) Animal waste management systems not included in the columns of this table should be reported under ""Other"".",,,,,,,,,,,,
"(c) MCF = Methane Conversion Factor (p. 10.43 of chapter 10, volume 4 of the 2006 IPCC Guidelines).",,,,,,,,,,,,
