"TABLE 4.C   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Grassland,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (8),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4) (6),Net carbon stock change in soils(4) (5) (7) ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
2.2 Cropland converted to grassland,,26.68,26.67,0.01,0.07,-0.15,-0.08,0.00,0.81,-2.50,1.82,-4.05,-2.23,0.00,21.65,-0.01,-71.15,,
Annual cropland converted to high producing grassland,Annual cropland converted to high producing grassland,13.31,13.31,0.00,0.05,-0.04,0.01,NE,0.78,-2.50,0.64,-0.51,0.14,NE,10.36,-0.00,-38.49,,
Perennial cropland converted to high producing grassland,Perennial cropland converted to high producing grassland,13.35,13.35,0.00,0.08,-0.25,-0.16,0.00,0.84,-2.50,1.12,-3.32,-2.20,0.00,11.28,-0.01,-33.25,,
Annual cropland converted to low producing grassland,Annual cropland converted to low producing grassland,0.00,0.00,NO,2.87,-5.00,-2.13,0.00,0.81,NO,0.00,-0.00,-0.00,0.00,0.00,NO,0.00,,
Perennial cropland converted to low producing grassland,Perennial cropland converted to low producing grassland,0.00,0.00,0.00,2.87,-18.76,-15.89,0.00,0.88,-2.50,0.01,-0.07,-0.06,0.00,0.00,-0.00,0.21,,
Annual cropland converted to grassland with woody biomass,Annual cropland converted to grassland with woody biomass,0.00,0.00,0.00,3.87,-5.00,-1.13,0.15,0.42,-2.50,0.01,-0.02,-0.00,0.00,0.00,-0.00,0.01,,
Perennial cropland converted to grassland with woody biomass,Perennial cropland converted to grassland with woody biomass,0.01,0.01,0.00,3.87,-18.76,-14.89,0.15,0.49,-2.50,0.03,-0.13,-0.11,0.00,0.00,-0.00,0.37,,
2.3 Wetlands converted to grassland,,56.28,56.12,0.16,0.03,-0.16,-0.12,0.00,-1.54,-2.00,1.94,-8.96,-7.02,0.00,-86.17,-0.31,342.86,,
Open water converted to high producing grassland,Open water converted to high producing grassland,0.01,0.01,NO,6.35,NE,6.35,0.00,-0.03,NO,0.04,NE,0.04,0.00,-0.00,NO,-0.14,,
Vegetated wetland converted to high producing grassland,Vegetated wetland converted to high producing grassland,56.19,56.06,0.13,0.03,-0.13,-0.10,0.00,-1.54,-2.03,1.64,-7.12,-5.49,0.00,-86.11,-0.26,336.81,,
Open water converted to low producing grassland,Open water converted to low producing grassland,0.01,0.01,NO,2.87,NE,2.87,0.00,0.00,NO,0.02,NE,0.02,0.00,0.00,NO,-0.07,,
Vegetated wetland converted to low producing grassland,Vegetated wetland converted to low producing grassland,0.07,0.03,0.03,2.87,-27.62,-24.75,0.00,-1.50,-1.84,0.19,-1.80,-1.61,0.00,-0.05,-0.06,6.30,,
Open water converted to grassland with woody biomass,Open water converted to grassland with woody biomass,0.01,0.01,NO,3.87,NE,3.87,0.15,-0.39,NO,0.05,NE,0.05,0.00,-0.01,NO,-0.17,,
Vegetated wetland converted to grassland with woody biomass,Vegetated wetland converted to grassland with woody biomass,0.00,0.00,0.00,3.87,-27.62,-23.75,0.15,-1.89,-2.50,0.01,-0.04,-0.03,0.00,-0.00,-0.00,0.13,,
2.4 Settlements converted to grassland,,0.00,0.00,NO,5.10,"NO,NE,IE",5.10,0.08,-0.21,NO,0.00,"NO,NE,IE",0.00,0.00,-0.00,NO,-0.00,,
Settlements converted to high producing grassland,Settlements converted to high producing grassland,0.00,0.00,NO,6.35,NE,6.35,0.00,-0.03,NO,0.00,NE,0.00,0.00,-0.00,NO,-0.00,,
Settlements converted to low producing grassland,Settlements converted to low producing grassland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Settlements converted to grassland with woody biomass,Settlements converted to grassland with woody biomass,0.00,0.00,NO,3.87,IE,3.87,0.15,-0.39,NO,0.00,IE,0.00,0.00,-0.00,NO,-0.00,,
2.5 Other Land converted to grassland,,0.09,0.09,NO,3.82,IE,3.82,0.11,2.09,NO,0.35,IE,0.35,0.01,0.19,0.00,-2.01,,
Other land converted to high producing grassland,Other land converted to high producing grassland,0.01,0.01,NO,6.35,IE,6.35,0.00,2.35,NO,0.03,IE,0.03,0.00,0.01,0.00,-0.17,,
Other land converted to low producing grassland,Other land converted to low producing grassland,0.02,0.02,NO,2.87,IE,2.87,0.00,2.38,NO,0.05,IE,0.05,0.00,0.04,NO,-0.34,,
