TABLE 1.A(b)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,,,,,,,,,,Inventory 1990,,,,,,
CO2 from fuel combustion activities - reference approach  (IPCC worksheet fuel combustion activities) ,,,,,,,,,,,,,,,,,,Submission 2023 v3,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,NEW ZEALAND,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FUEL TYPES,,,Unit,Production,Imports,Exports,International,Stock change,Apparent,Conversion,NCV/ GCV (2),Apparent,Carbon emission,Carbon ,Carbon ,Net carbon,Fraction of,Actual CO2,,,,,,
,,Liquid biomass,PJ,NO,NO,NO,,NO,NO,1000.00,GCV,NO,17.93,NO,NO,NO,1.00,NO,,,,,,
,,Gas biomass,PJ,1.78,NO,NO,,NO,1.78,1000.00,GCV,1775.76,13.41,23.81,NO,23.81,1.00,87.31,,,,,,
,,Other non-fossil fuels (biogenic waste),PJ,NE,NE,NE,,NE,NE,NE,GCV,NE,NE,NE,NO,"NO,NE",NE,"NO,NE",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"(1) If consumption data are not reported in physical units, please report net calorific values in a similar level of disaggregation as fuel types in the national inventory report (NIR) and indicate in the documentation box where this information is reported.",,,,,,,,,,,,,,,,,,,,,,,,
"(2) To convert quantities in previous columns to energy units, use net calorific values (NCVs) and write NCV in this column. If gross calorific values (GCVs) are used, write GCV in this column.",,,,,,,,,,,,,,,,,,,,,,,,
"(3)   If data for anthracite are not available separately, include with Other Bituminous Coal.",,,,,,,,,,,,,,,,,,,,,,,,
(4)   BKB: Brown coal briquettes.,,,,,,,,,,,,,,,,,,,,,,,,
"(5) Although peat is not strictly speaking a fossil fuel, the carbon dioxide (CO2) emissions from combustion of peat are included in the national emissions as for fossil fuels. See the 2006 IPCC Guidelines, chapter 1 of energy volume, page 1.15.",,,,,,,,,,,,,,,,,,,,,,,,
(6) Include peat briquettes here.,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Box:,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the fuel combustion sub-sector, including information relating to CO2 from the Reference approach, in the corresponding part of Chapter 3: Energy (CRF sub-sector 1.A) of the NIR.  Use this documentation box to provide references to relevant sections of the NIR 
if any additional information and/or further details are needed to understand the content of this table.  ",,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,"1.AB/1990: Included under bitumen 
1.AB/1990: Imports of lubricants, pet coke and other oil are grouped together under bitumen. NZ does not have the data to disaggregate further. EF=20.96kt C/PJ (from NZRC). 
1.AB/1990: Included in Crude Oil 
1.AB/1990: Included under sub-bituminous coal 
1.AB/1990: Stock change inluded under sub-bituminous coal 
1.AB/1990: Included under crude oil. 
1.AB Other Oil: Included in Bitumen",,,,,,,,,,,,,,,,,,,,,,
